"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Lea James Hot Chicken","Hot Fish","Complete","Main","Recipe","4.173687100043304","26.085544375270647","0","0","16","100","73.91445562472936","4.173687100043304","100","04/01/2025 18:16:49","","","","","","1","ea","4.173687100043304"
"Lea James Hot Chicken","BBQ Sauce Chicken Wings","Complete","Main","Recipe","2.4495615187722244","18.842780913632495","0","0","13","100","81.1572190863675","2.4495615187722244","100","04/01/2025 17:45:40","","","","","","1","each","2.4495615187722244"
"Lea James Hot Chicken","Buffalo Chicken Wings","Complete","Main","Recipe","2.530186518772326","19.462973221325587","0","0","13","100","80.53702677867443","2.530186518772326","100","04/01/2025 17:38:40","","","","","","1","each","2.530186518772326"
"Lea James Hot Chicken","Lemon Pepper Chicken Wings","Complete","Main","Recipe","1.9448740187714424","14.960569375164942","0","0","13","100","85.03943062483506","1.9448740187714424","100","04/01/2025 17:38:04","","","","","","1","each","1.9448740187714424"
"Lea James Hot Chicken","Mac & Cheese","Complete","Sides","Recipe","0.9474856938397691","18.949713876795382","0","0","5","100","81.05028612320461","0.9474856938397691","100","04/01/2025 17:07:26","5","Days","","","","1","ea","0.9474856938397691"
"Lea James Hot Chicken","Collard Greens - Side Portion","Complete","Sides","Recipe","0.2160406413845843","4.320812827691686","0","0","5","100","95.67918717230832","0.2160406413845843","100","04/01/2025 17:04:34","5","Days","","","","1","ea","0.2160406413845843"
"Lea James Hot Chicken","Collard Greens Recipe","Complete","Sides","PrepRecipe","19.011576441843417","380.23152883686834","0","0","0","100","0","19.011576441843417","100","04/01/2025 17:03:48","5","Days","22","qt","","1","ea","0.8641625655383371"
"Lea James Hot Chicken","Loaded Fries","Complete","Main","Recipe","2.482280014054249","20.685666783785408","0","0","12","100","79.31433321621459","2.482280014054249","100","02/18/2025 06:00:02","","","","","","1","","2.482280014054249"
"Lea James Hot Chicken","Hot Fat","Complete","Ingredient","PrepRecipe","34.613353254","0","0","0","0","100","0","34.613353254","100","02/18/2025 05:44:45","1","Months","3","gal","","","","11.537784418000001"
"Lea James Hot Chicken","Clucking Spice (Seasoning Blend)","Complete","Ingredient","PrepRecipe","17.130729915","0","0","0","0","100","0","17.130729915","100","02/18/2025 05:40:43","1","Months","106","gram","","","","0.1616106595754717"
"Lea James Hot Chicken","Onion Ranch","Complete","Sauces","PrepRecipe","23.31832738095561","0","0","0","0","100","0","23.31832738095561","100","02/18/2025 05:23:48","2","Days","10","qt","","","","2.331832738095561"
"Lea James Hot Chicken","Comeback sauce","Complete","Sauces","PrepRecipe","36.3505555556016","0","0","0","0","100","0","36.3505555556016","100","02/04/2025 21:13:51","7","Days","7.5","quart","2","","","4.84674074074688"
"Lea James Hot Chicken","Plain Jane Sandwich","Complete","Main","Recipe","3.142168937013784","20.94779291342523","0","0","15","100","79.05220708657478","3.142168937013784","100","02/04/2025 19:10:19","7","","","","","1","ea","3.142168937013784"
"Lea James Hot Chicken","Kale Kimchi - Side Portion","Complete","Sides","Recipe","0.39700104166683453","7.94002083333669","0","0","5","100","92.05997916666331","0.39700104166683453","100","02/04/2025 18:56:13","","","","","","1","ea","0.39700104166683453"
"Lea James Hot Chicken","Pickled Shallot","Complete","Toppings","PrepRecipe","158.59666666667528","0","0","0","0","100","0","158.59666666667528","100","02/04/2025 16:21:26","2","weeks","4","gallon","","","","39.64916666666882"
"Lea James Hot Chicken","Tenders","Complete","Main","Recipe","1.26570625","31.64265625","0","0","4","100","68.35734375","1.26570625","100","06/29/2024 18:01:55","","","","","","1","each","1.26570625"
