Location Name,Vendor Name,Item Code,Item Description,UOM,Item UOM,Pack,Size,Unit,Contracted Price ($),Last Purchased Date,Last Purchased Price ($),Close Watch,Product(s)
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5246,4|5 # chicken thigh bnls snon 7.5 oz sol,lb,ea,1,1,lb,0,6/2/2023,2.75,FALSE,"Protein, Chicken, Thighs"
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376518,4|5 # chicken thigh bnls snon 7.5 oz sol.,lb,,1,1,lb,0,6/20/2023,2.75,FALSE,"Protein, Chicken, Thighs"
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5036,4 | 6#av CHICKEN TENDER JUMBO SOL 24.34 24.39 24.39 25.22,lb,,1,1,lb,0,8/26/2024,2.78,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5246,4 | 6#av CHICKEN THIGH BNLS SKON 7-8oz SOL,lb,,1,1,lb,0,8/26/2024,3.21,FALSE,"Protein, Chicken, Thighs"
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC8146837,4 | 6#av CHICKEN WING 1 &2 JNT SOL.,lb,,1,1,lb,0,1/13/2024,2.59,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5256,4 | 6#av CHICKEN WING 1&2 JNT SOL,lb,,1,1,lb,0,8/26/2024,3.25,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376515,4|6 #chicken tender jumbo sol.,lb,,1,1,lb,0,6/20/2023,2.49,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376517,4|6 #chicken wing .,lb,,1,1,lb,0,6/20/2023,2.12,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5256,"4|6 #chicken wing 25,70 76 25.98",lb,ea,1,1,lb,0,6/2/2023,2.12,FALSE,
Lea James Hot Chicken,Jorge Garza,58897_XC11546427,48ct Green Onion|Iceless 12#,ct,ea,48,4,oz,0,2/25/2025,25.75,FALSE,"Produce, Onions, Green, wt"
Lea James Hot Chicken,Jorge Garza,58897_XC5723334,50# Jumbo Carrot,case,,1,50,pound,0,2/18/2025,23.5,FALSE,"Produce, Carrots, Jumbo, Fresh"
Lea James Hot Chicken,Jorge Garza,58897_XC9928717,5# Peeled Garlic.,cs,,1,5,lb,0,10/21/2024,17.75,FALSE,"Produce, Garlic, White, Whole Cloves"
Lea James Hot Chicken,Jorge Garza,58897_XC3623202,5# Peeled Shallot,cs,,1,5,lb,0,12/30/2024,18.75,FALSE,"Produce, Shallots, Peeled, Fresh"
Lea James Hot Chicken,TEXAS FINESS,187330_XC8957037,ANCHA,lb,,1,1,lb,0,4/22/2024,7,FALSE,"Produce, Pepper, Ancho"
Lea James Hot Chicken,Jorge Garza,58897_XC11131128,A|P Flour,cs,,1,5,lb,0,1/6/2025,11.79,FALSE,"Dry Goods, Flour, All Purpose, White"
Lea James Hot Chicken,Chefs Produce,560,APPLE CIDER | PERRICONE,cs,,4,1,gal,0,11/20/2023,11.25,FALSE,
Lea James Hot Chicken,US Foods,9331562,"APPLE, GRANY SMITH 20-22 CT",ca,,1,88,each,0,6/10/2024,42.26,FALSE,"Produce, Apple, Granny Smith"
Lea James Hot Chicken,Chefs Produce,16,APPLES GALA WAXF,cs,,1,88,each,0,9/18/2023,1.26,FALSE,"produce, gala apples"
Lea James Hot Chicken,Chefs Produce,32,APPLES GRAMY SMITH WAXF,cs,,88,1,count,0,2/19/2024,28.83,TRUE,"Produce, Apple, Granny Smith"
Lea James Hot Chicken,Chefs Produce,33,APPLES GRANNY SMITH WAXF,cs,each,88,1,each,0,6/20/2023,2.7,FALSE,
Lea James Hot Chicken,Chefs Produce,35,APPLES HONEY CRISP WAXF,ea,ea,80,1,count,0,9/28/2023,2.01,FALSE,
Lea James Hot Chicken,Chefs Produce,1345,APPLES HONEY CRISP WAXF,cs,,88,1,count,0,11/14/2023,37.06,FALSE,
Lea James Hot Chicken,Chefs Produce,1343,APPLES HONEY CRISP WAXF,cs,,1,88,ct,0,12/11/2023,69.5,FALSE,
Lea James Hot Chicken,Chefs Produce,1344,APPLES HONEY CRISP WAXF,ea,,1,88,ct,0,1/5/2024,3.16,FALSE,
Lea James Hot Chicken,Sysco Houston,7228367,APTZR CORN RIB HCKRY SMK,cs,pack,4,4,lb,0,5/23/2025,71.07,FALSE,"Frozen, Corn Rib, Hickory Smoked"
Lea James Hot Chicken,GORDON FOOD SERVICES,255203,Array DEGREASER H|D RTU,cs,ea,6,32,oz,0,11/21/2024,38.57,FALSE,"Non Con, Degreaser"
Lea James Hot Chicken,Jorge Garza,58897_XC11835395,Avocado 48ct.,cs,,1,1,ea,0,12/2/2024,1.79,FALSE,"Produce, Avocado, Fresh"
Lea James Hot Chicken,US Foods,2051878,AVOCADO  HASS 24 CT FRESH REF,cs,,1,24,each,0,4/19/2024,24.42,FALSE,"Produce, Avocado, Fresh"
Lea James Hot Chicken,Chefs Produce,82,AVOCADOS  HASS 2 LAYER,cs,each,48,1,count,0,9/2/2023,49.72,FALSE,
Lea James Hot Chicken,Chefs Produce,83,AVOCADOS HASS 2 LAYER,cs,,1,1,ea,0,5/1/2024,38.33,FALSE,
Lea James Hot Chicken,Chefs Produce,1069,BABY FRISEE CIRCUS,cs,,12,1,count,0,11/3/2023,36.75,FALSE,
Lea James Hot Chicken,"JAKE'S, INC.",BACN05,BACON HALF SLAB APPLEWOOD,cs,ea,4,1,piece,0,10/4/2024,6.77,FALSE,
Lea James Hot Chicken,RESTAURANT DEPOT,70247159793,BAC TRAY PACK 3#,cs,,1,3,lb,0,5/13/2025,13.4,FALSE,
Lea James Hot Chicken,RESTAURANT DEPOT,18692,BAC TRAY PACK 3# FLAND,cs,,1,3,lb,0,4/22/2025,12.18,FALSE,
Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,BAG PL1|6SMILEFACE 500 CT,case,,1,500,each,0,4/10/2025,18.99,FALSE,"Non Con, To Go Bags"
Lea James Hot Chicken,US Foods,BAGS43,BAGS 11.5X6. 5X22 THANK YOU,ea,ea,1000,1,ea,0,6/13/2025,33.77,FALSE,"Non Con, To Go Bags"
Lea James Hot Chicken,US Foods,1870898,BAG  SHPP 14X10X16 PAPR KRAFT,cs,,1,200,each,0,11/17/2023,104.06,FALSE,
Lea James Hot Chicken,US Foods,8808988,"BAG, SHPP 19.5X16X9 PLST LG EV",ea,,500,1,ea,0,5/10/2024,57.2,FALSE,
Lea James Hot Chicken,"JAKE'S, INC.",BAGS43,BAGS T-SHIRT THANK YOU,cs,,1,1,,0,4/11/2025,32.33,FALSE,
