FAM_Product_Name,FAM_Restaurant_Location_Name,Vendor_Name,Vendor_Item_Code,Vendor_Item_Description,Vendor_UOM,Inventory_UOM,Pack_qty,Size_qty,Size_UOM,Last Purchased Date,Last Purchased Price ($)
"Produce, CABBAGE RED CARTON",Lea James Hot Chicken,Chefs Produce,253,CABBAGE GREEN CARTON,cs,,1,1,each,6/20/23,3.78
"Produce, CABBAGE GREEN SHREDDED",Lea James Hot Chicken,Chefs Produce,8030,CABBAGE GREEN SHREDDED,cs,,1,1,lb,8/9/23,2.75
,Lea James Hot Chicken,US Foods,5349329,CABBAGE  GRN SHRD 1 8  PILO PK,cs,,4,5,lb,6/4/24,21.53
produce red cabbage,Lea James Hot Chicken,Chefs Produce,260,CABBAGE RED CARTON,lb,bag,10,1,lb,9/18/23,1.29
"Produce, Cabbage, Red, Shredded",Lea James Hot Chicken,US Foods,4332011,CABBAGE  RED SHRD 1 8  PILO PK,case,,4,5,lb,8/26/24,28.36
"Produce, CABBAGE RED SHREDDED 1# LB",Lea James Hot Chicken,Chefs Produce,8040,CABBAGE RED SHREDDED 1# LB,cs,,1,1,lb,1/5/24,2.75
"Produce, CABBAGE GREEN SHREDDED",Lea James Hot Chicken,GORDON FOOD SERVICES,285802,"CABBAGE SHRD 1|8""",cs,ea,4,5,lb,11/29/24,30.79
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC63227,CAKE.,ea,,1,1,ea,10/30/24,32
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC9855094,CAKES,cs,,1,1,ea,8/3/24,32
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC61113,CAKES.,cs,,1,1,ea,10/4/24,32
,Lea James Hot Chicken,RESTAURANT DEPOT,99511346745,CAM CVR S 6|8QT,cs,,6,8,qt,10/21/23,4.22
"Dry Goods, Oil, Canola, Clear, Frying",Lea James Hot Chicken,Jorge Garza,58897_XC11050889,Canola | Fry,ea,,1,35,lb,12/23/24,40.5
"Produce, Carrots, Jumbo, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC35013,Carrot,lb,,1,1,lb,2/25/25,0.79
,Lea James Hot Chicken,US Foods,4732491,CARROT  JMB BAG FRESH REF,cs,,1,50,lb,6/4/24,27.51
"Produce, Carrot, Shredded",Lea James Hot Chicken,US Foods,4342010,CARROT  MTSTK SHRD FRESH REF,cs,ea,4,5,lb,12/31/24,29
,Lea James Hot Chicken,"JAKE'S, INC.",PR8163,CARROTS JUMBO 5 LB,cs,,1,5,lb,12/6/24,6.88
,Lea James Hot Chicken,Chefs Produce,273,CARROTS JUMBO MEXICO,cs,,1,50,lb,9/18/23,1.02
"Produce, CARROTS SHREDDED",Lea James Hot Chicken,Chefs Produce,8052,CARROTS SHREDDED,lb,,1,1,lb,1/5/24,3.25
"N/A Bev, DRINK SODA COLA COKE MEX GLS",Lea James Hot Chicken,Jorge Garza,58897_XC10484630,Case ==== Coke |500ml Mex,cs,ea,24,500,ml,11/19/24,37
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,Jorge Garza,58897_XC10619296,Case== = = Extra Melt | Yellow......,case,lb,6,5,lb,1/7/25,144
"N/A Bev, Soda, Sprite",Lea James Hot Chicken,Jorge Garza,58897_XC10484629,Case =====Sprite 500ml,cs,,24,1,ea,12/9/24,38.5
"N/A Bev, Soda, Sprite",Lea James Hot Chicken,Jorge Garza,58897_XC10619293,Case —---Sprite 500ml,cs,ea,24,1,ea,2/25/25,41.5
"N/A Bev, Soda, Sprite",Lea James Hot Chicken,Jorge Garza,58897_XC11813053,Case Sprite 500ml.,cs,ea,24,1,ea,3/24/25,41.5
"N/A Bev, Soda, Sprite",Lea James Hot Chicken,Jorge Garza,58897_XC11484060,CaseSprite 500ml,cs,ea,24,1,ea,3/10/25,41.5
,Lea James Hot Chicken,Jorge Garza,58897_XC10484628,Case ===== Topo Chico 24ct|355ml,cs,,1,1,ea,2/25/25,32.5
,Lea James Hot Chicken,Jorge Garza,58897_XC10619294,Case-----Topo Chico 24ct|355ml,cs,ea,24,355,ml,11/5/24,32.5
"Protein, Catfish, Fillet, Fresh",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,7237552,CATFISH FILLET FRESH 5-7OZ Country of Origin : USA|FARMED,lb,ea,1,1,lb,7/1/25,6.43
"Produce, Cauliflower, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC3682926,Cauliflower | USA,case,ea,18,1,lb,2/18/25,28.75
,Lea James Hot Chicken,Jorge Garza,58897_XC6873465,Cayenne Pepper 40SHU,case,,1,1,,2/11/25,4.24
"Dry Good,  Cayenne Pepper, Spice",Lea James Hot Chicken,Jorge Garza,58897_XC11813060,Cayenne Pepper 40SHU,cs,,1,1,lb,3/24/25,4.24
"Produce, Celery Stalks, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC63226,Celery,cs,,1,1,ea,2/18/25,1.79
,Lea James Hot Chicken,Chefs Produce,294,CELERY,case,,1,24,count,2/19/24,19.61
"Produce, Celery Stalks, Fresh",Lea James Hot Chicken,US Foods,PR8153,CELERY 6 EACH,cs,,1,6,ct,7/2/25,10.41
"Produce, Celery Stalks, Fresh",Lea James Hot Chicken,"JAKES, INC.",PR8153,CELERY 6 EACH,bag,,1,6,ct,6/9/25,10.9
"Produce, Celery Stalks, Fresh",Lea James Hot Chicken,"JAKE'S, INC.",PR8153,CELERY 6 EACH,cs,,1,6,ct,6/2/25,10.01
,Lea James Hot Chicken,US Foods,4725586,"CELERY, STALK FRESH REF",case,,36,1,each,8/19/24,34.68
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,US Foods,PCH007,CHEESE AMERICAN MELTING,lb,,1,1,lb,6/23/25,3.37
,Lea James Hot Chicken,"JAKE'S, INC.",PCH007,CHEESE AMERICAN MELTING YELL,lb,,1,1,lb,5/5/25,3.19
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,"JAKES, INC.",PCH007,CHEESE AMERICAN MELTING YELLO,lb,,1,1,lb,6/9/25,3.31
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,US Foods,33308,"CHEESE, AMER LOAF PROCD SPRED",case,each,6,5,lb,1/16/24,104.72
,Lea James Hot Chicken,US Foods,4064044,CHEESE  AMER LOAF PROCD YLW EX,cs,each,6,5,lb,9/2/24,119.8
,Lea James Hot Chicken,GORDON FOOD SERVICES,164208,CHEESE AMER YEL LOAF EZ MELT 6-5#,cs,lb,6,5,lb,11/21/24,94.22
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,US Foods,NCHS64,CHEESE CHEDDAR MILD LOAF,lb,,1,1,lb,6/30/25,4.09
,Lea James Hot Chicken,"JAKE'S, INC.",NCHS64,CHEESE CHEDDAR MILD  LOAF,lb,lb,2,5,lb,3/24/25,4.27
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,"JAKES, INC.",NCHS64,CHEESE CHEDDER MILD LOAF,lb,,1,1,lb,5/20/25,4.15
"Dairy, Cheese, Monterray Jack",Lea James Hot Chicken,"JAKE'S, INC.",NCHS45,CHEESE CHED MONT JACK,lb,,1,1,lb,10/7/24,3.67
"Dairy, Cheese, Monterray Jack",Lea James Hot Chicken,US Foods,NCHS45,CHEESE CHED MONT JACK 50|50,lb,,1,1,lb,6/30/25,3.47
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,US Foods,3535432,CHEESE  CHEDR ES BAR YLW REF,cs,,1,10,lb,7/31/23,35.73
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,US Foods,5880836,CHEESE  CHEDR MILD PRINT WRPD,cs,,1,10,lb,6/4/24,33.27
