timestamp,table,pk,column,value,error_message
2025-07-06T10:09:59.971838,inventory,11,pack_size,24 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.971856,inventory,24,purchase_unit,ct,Invalid purchase unit: ct
2025-07-06T10:09:59.971877,inventory,84,pack_size,8 piece,Invalid unit in pack size: piece
2025-07-06T10:09:59.971882,inventory,86,pack_size,1 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.971892,inventory,90,recipe_cost_unit,slice,Invalid recipe cost unit: slice
2025-07-06T10:09:59.971898,inventory,92,pack_size,1 count,Invalid unit in pack size: count
2025-07-06T10:09:59.971902,inventory,93,pack_size,1 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.971936,inventory,153,pack_size,6 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.971993,inventory,285,recipe_cost_unit,jug,Invalid recipe cost unit: jug
2025-07-06T10:09:59.972002,inventory,293,purchase_unit,jug,Invalid purchase unit: jug
2025-07-06T10:09:59.972035,inventory,342,pack_size,1 x 1,Invalid pack size format: 1 x 1
2025-07-06T10:09:59.972070,inventory,414,pack_size,24 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.972079,inventory,417,pack_size,1 x 1,Invalid pack size format: 1 x 1
2025-07-06T10:09:59.972128,inventory,482,pack_size,18 count,Invalid unit in pack size: count
2025-07-06T10:09:59.972166,inventory,541,pack_size,1 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.972175,inventory,552,pack_size,32 x 0.5 ltr,Invalid unit in pack size: ltr
2025-07-06T10:09:59.972205,inventory,614,pack_size,5 x 1,Invalid pack size format: 5 x 1
2025-07-06T10:09:59.972209,inventory,616,pack_size,1 x 5,Invalid pack size format: 1 x 5
2025-07-06T10:09:59.972218,inventory,620,pack_size,1 x 5,Invalid pack size format: 1 x 5
2025-07-06T10:09:59.972226,inventory,623,pack_size,24 ct,Invalid unit in pack size: ct
2025-07-06T10:09:59.972228,inventory,623,purchase_unit,unit,Invalid purchase unit: unit
2025-07-06T10:09:59.972238,inventory,627,pack_size,1 count,Invalid unit in pack size: count
2025-07-06T10:09:59.972241,inventory,628,pack_size,1 x 4,Invalid pack size format: 1 x 4
2025-07-06T10:09:59.972247,inventory,630,pack_size,3 x 1 count,Invalid unit in pack size: count
2025-07-06T10:09:59.972251,inventory,636,pack_size,8 piece,Invalid unit in pack size: piece
2025-07-06T10:09:59.972264,inventory,670,pack_size,1 x 1,Invalid pack size format: 1 x 1
2025-07-06T10:09:59.972287,inventory,724,purchase_unit,jug,Invalid purchase unit: jug
2025-07-06T10:09:59.972315,inventory,773,pack_size,1 x 2,Invalid pack size format: 1 x 2
2025-07-06T10:09:59.972327,inventory,792,purchase_unit,bg,Invalid purchase unit: bg
2025-07-06T10:09:59.972347,inventory,841,pack_size,8 count,Invalid unit in pack size: count
2025-07-06T10:09:59.972353,inventory,853,recipe_cost_unit,btl,Invalid recipe cost unit: btl
2025-07-06T10:09:59.972358,inventory,855,recipe_cost_unit,bottle,Invalid recipe cost unit: bottle
2025-07-06T10:09:59.972367,inventory,865,pack_size,2 x 5 ltr,Invalid unit in pack size: ltr
2025-07-06T10:09:59.972371,inventory,866,purchase_unit,jug,Invalid purchase unit: jug
2025-07-06T10:09:59.972380,inventory,873,purchase_unit,bottle,Invalid purchase unit: bottle
2025-07-06T10:09:59.972383,inventory,874,pack_size,4 x 1,Invalid pack size format: 4 x 1
2025-07-06T10:09:59.972659,recipes,72,,,Recipe has no costed ingredients
2025-07-06T10:09:59.972664,recipes,74,,,Recipe has no costed ingredients
2025-07-06T10:09:59.972676,recipes,81,food_cost_percentage,119.99,High food cost percentage: 120.0%
2025-07-06T10:09:59.972684,recipes,87,food_cost_percentage,122.49466666666666,High food cost percentage: 122.5%
2025-07-06T10:09:59.972694,recipes,97,,,Recipe has no ingredients
2025-07-06T10:09:59.972698,recipes,100,,,Recipe has no ingredients
2025-07-06T10:09:59.972701,recipes,102,,,Recipe has no ingredients
2025-07-06T10:09:59.972704,recipes,105,,,Recipe has no ingredients
2025-07-06T10:09:59.973255,recipe_ingredients,296,ingredient_name,Collard Greens Recipe,"Ingredient name mismatch: ""Collard Greens Recipe"" vs ""Produce, Collard Green, Frozen, Chopped"""
2025-07-06T10:09:59.973261,recipe_ingredients,304,unit_of_measure,slice,Invalid UOM: slice
2025-07-06T10:09:59.973276,recipe_ingredients,315,ingredient_name,Kale Kimchi Recipe,"Ingredient name mismatch: ""Kale Kimchi Recipe"" vs ""PD KALE CHOPPED"""
2025-07-06T10:09:59.973284,recipe_ingredients,320,ingredient_name,Charred Onion Ranch,"Ingredient name mismatch: ""Charred Onion Ranch"" vs ""Dry Goods, Ranch Dressing, with Jalapeno"""
2025-07-06T10:09:59.973286,recipe_ingredients,321,ingredient_name,Kale Kimchi Recipe,"Ingredient name mismatch: ""Kale Kimchi Recipe"" vs ""PD KALE CHOPPED"""
2025-07-06T10:09:59.973292,recipe_ingredients,324,ingredient_name,"Protein, Pork Belly, Diced, Hickory Smoked","Ingredient name mismatch: ""Protein, Pork Belly, Diced, Hickory Smoked"" vs ""Frozen, Corn Rib, Hickory Smoked"""
2025-07-06T10:09:59.973297,recipe_ingredients,327,ingredient_name,"Water, Tap","Ingredient name mismatch: ""Water, Tap"" vs ""N/A Bev, Water, Still, Bottles"""
2025-07-06T10:09:59.973303,recipe_ingredients,334,ingredient_name,"Produce, CABBAGE GREEN SHREDDED","Ingredient name mismatch: ""Produce, CABBAGE GREEN SHREDDED"" vs ""Produce, Cabbage, Red, Shredded"""
2025-07-06T10:09:59.973312,recipe_ingredients,340,ingredient_name,French Fries Recipe,"Ingredient name mismatch: ""French Fries Recipe"" vs ""Dry Goods, Bread, French Toast, Thick Slice"""
2025-07-06T10:09:59.973315,recipe_ingredients,342,unit_of_measure,slice,Invalid UOM: slice
2025-07-06T10:09:59.973318,recipe_ingredients,343,ingredient_name,Onion Ranch,"Ingredient name mismatch: ""Onion Ranch"" vs ""Dry Goods, Ranch Dressing, with Jalapeno"""
2025-07-06T10:09:59.973321,recipe_ingredients,344,ingredient_name,Kale Kimchi Recipe,"Ingredient name mismatch: ""Kale Kimchi Recipe"" vs ""PD KALE CHOPPED"""
2025-07-06T10:09:59.973324,recipe_ingredients,346,ingredient_name,French Fries Recipe,"Ingredient name mismatch: ""French Fries Recipe"" vs ""Dry Goods, Bread, French Toast, Thick Slice"""
2025-07-06T10:09:59.973327,recipe_ingredients,348,ingredient_name,Fried Chicken Tender,"Ingredient name mismatch: ""Fried Chicken Tender"" vs ""Dry Goods, Chicken Base, Paste"""
2025-07-06T10:09:59.973332,recipe_ingredients,351,ingredient_name,French Fries Recipe,"Ingredient name mismatch: ""French Fries Recipe"" vs ""Dry Goods, Bread, French Toast, Thick Slice"""
2025-07-06T10:09:59.973334,recipe_ingredients,352,ingredient_name,Charred Onion Ranch,"Ingredient name mismatch: ""Charred Onion Ranch"" vs ""Dry Goods, Ranch Dressing, with Jalapeno"""
2025-07-06T10:09:59.973338,recipe_ingredients,354,unit_of_measure,fl ounce,Invalid UOM: fl ounce
2025-07-06T10:09:59.973343,recipe_ingredients,357,ingredient_name,Onion Ranch,"Ingredient name mismatch: ""Onion Ranch"" vs ""Dry Goods, Ranch Dressing, with Jalapeno"""
