101,"Mac Sauce",Complete,Sauces,PrepRecipe,182.6161,0.0,0.0,0.0,0.0,0.0,182.6161,100.0,7,days,3,gallon,"","",18.3630844057452,,,"06/21/2025 20:48:23","2025-07-04 21:29:47","2025-07-06 05:00:58"
102,Coleslaw,Draft,Ingredient,PrepRecipe,41.62,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"","","","","","",8.33122134395747,,,"06/21/2025 20:32:11","2025-07-04 21:29:47",2025-07-06T19:53:31.270039
103,"Chicken Waffle Cone",Complete,Main,Recipe,3.7059,30.0588430059563,0.0,0.0,12.0,69.9411569940437,3.7059,100.0,7,Days,"","",1,ea,3.60706116071475,,,"06/20/2025 17:51:08","2025-07-04 21:29:47","2025-07-06 05:00:58"
104,"Charred Onion Ranch",Draft,Sauces,PrepRecipe,25.0168,0.0,0.0,0.0,0.0,0.0,25.0168,100.0,5,Days,10,lb,1,ea,6.44031250000417,,,"06/20/2025 16:57:40","2025-07-04 21:29:47","2025-07-06 05:00:58"
105,"Hot Honey - 2025",Draft,Sauces,PrepRecipe,26.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,Days,5,lb,1,each,1.30802476329684,,,"06/20/2025 16:40:11","2025-07-04 21:29:47",2025-07-06T19:53:31.270372
106,"Hot Honey - portion",Complete,Sauces,Recipe,0.0142,21.5960019896881,0.0,0.0,1.0,78.4039980103119,0.0142,100.0,7,Days,"","",1,oz,0.215960019896881,,,"06/20/2025 16:36:58","2025-07-04 21:29:47","2025-07-06 05:00:58"
107,"Hot Honey Sauce",Complete,Sauces,PrepRecipe,3.227,0.0,0.0,0.0,0.0,0.0,3.227,100.0,7,Days,8,lb,"","",1.72768015917505,,,"06/20/2025 16:36:07","2025-07-04 21:29:47","2025-07-06 05:00:58"
108,"Kale - Chopped",Complete,Ingredient,PrepRecipe,23.608,0.0,0.0,0.0,0.0,0.0,23.608,100.0,2,Days,20,lb,"","",1.1892,,,"06/20/2025 16:28:16","2025-07-04 21:29:47","2025-07-06 05:00:58"
109,"Lemon Pepper Sauce - Portion",Complete,Sauces,Recipe,0.1467,14.6666666666667,0.0,0.0,1.0,85.3333333333333,0.1467,100.0,"","","","",1,ea,0.146666666666667,,,"06/20/2025 16:13:26","2025-07-04 21:29:47","2025-07-06 05:00:58"
110,"Alabama White BBQ",Draft,Sauces,PrepRecipe,8.1563,0.0,0.0,0.0,0.0,0.0,8.1563,100.0,7,Days,3,quart,"","",3.3602708333373,,,"06/19/2025 20:14:45","2025-07-04 21:29:47","2025-07-06 05:00:58"
111,"Shredded Carrots",Complete,"",PrepRecipe,4.7,52.6666666666667,0.0,0.0,0.0,0.0,4.7,100.0,"","",10,lb,1,ea,0.79,,,"04/21/2025 07:08:06","2025-07-04 21:29:47","2025-07-06 05:00:58"
112,"Shredded Cabbage",Complete,Sides,PrepRecipe,8.84,0.0,0.0,0.0,0.0,0.0,8.84,100.0,"","",10,lb,"","",1.526,,,"04/21/2025 07:08:06","2025-07-04 21:29:47","2025-07-06 05:00:58"
113,"Comeback Sauce - Portion",Complete,Sauces,Recipe,0.0,30.292129629668,0.0,0.0,1.0,69.707870370332,0.0,100.0,"","","","",1,ea,0.30292129629668,,,"04/01/2025 19:00:39","2025-07-04 21:29:47","2025-07-06 05:00:58"
114,"Hot Honey Chicken Wings",Complete,Main,Recipe,1.7775,17.4368773735785,0.0,0.0,13.0,82.5631226264215,1.7775,100.0,"","","","",1,each,2.26679405856521,,,"04/01/2025 18:38:46","2025-07-04 21:29:47","2025-07-06 05:00:58"
115,"Chicken Wings",Complete,Main,Recipe,1.749,18.3487401877144,0.0,0.0,10.0,81.6512598122856,1.749,100.0,"","","","",1,each,1.83487401877144,,,"04/01/2025 18:37:34","2025-07-04 21:29:47","2025-07-06 05:00:58"
116,"Buffalo Sauce - portion",Complete,Sauces,Recipe,0.3477,34.7656250000442,0.0,0.0,1.0,65.2343749999558,0.3477,100.0,"","","","",1,ea,0.347656250000442,,,"04/01/2025 18:23:48","2025-07-04 21:29:47","2025-07-06 05:00:58"
117,"Hot Fish",Complete,Main,Recipe,3.673,26.0855443752706,0.0,0.0,16.0,73.9144556247294,3.673,100.0,"","","","",1,ea,4.1736871000433,,,"04/01/2025 18:16:49","2025-07-04 21:29:47","2025-07-06 05:00:58"
118,"BBQ Sauce Chicken Wings",Complete,Main,Recipe,2.2834,18.8427809136325,0.0,0.0,13.0,81.1572190863675,2.2834,100.0,"","","","",1,each,2.44956151877222,,,"04/01/2025 17:45:40","2025-07-04 21:29:47","2025-07-06 05:00:58"
119,"Buffalo Chicken Wings",Complete,Main,Recipe,2.4443,19.4629732213256,0.0,0.0,13.0,80.5370267786744,2.4443,100.0,"","","","",1,each,2.53018651877233,,,"04/01/2025 17:38:40","2025-07-04 21:29:47","2025-07-06 05:00:58"
120,"Lemon Pepper Chicken Wings",Complete,Main,Recipe,1.859,14.9605693751649,0.0,0.0,13.0,85.0394306248351,1.859,100.0,"","","","",1,each,1.94487401877144,,,"04/01/2025 17:38:04","2025-07-04 21:29:47","2025-07-06 05:00:58"
121,"Mac & Cheese",Complete,Sides,Recipe,0.6643,18.9497138767954,0.0,0.0,5.0,81.0502861232046,0.6643,100.0,5,Days,"","",1,ea,0.947485693839769,,,"04/01/2025 17:07:26","2025-07-04 21:29:47","2025-07-06 05:00:58"
122,"Collard Greens - Side Portion",Complete,Sides,Recipe,0.0236,4.32081282769169,0.0,0.0,5.0,95.6791871723083,0.0236,100.0,5,Days,"","",1,ea,0.216040641384584,,,"04/01/2025 17:04:34","2025-07-04 21:29:47","2025-07-06 05:00:58"
123,"Collard Greens Recipe",Complete,Sides,PrepRecipe,15.0357,0.0,0.0,0.0,0.0,0.0,15.0357,100.0,5,Days,22,qt,1,ea,0.864162565538337,,,"04/01/2025 17:03:48","2025-07-04 21:29:47","2025-07-06 05:00:58"
124,"Loaded Fries",Complete,Main,Recipe,3.2121,20.6856667837854,0.0,0.0,12.0,79.3143332162146,3.2121,100.0,"","","","",1,"",2.48228001405425,,,"02/18/2025 06:00:02","2025-07-04 21:29:47","2025-07-06 05:00:58"
125,"Hot Fat",Complete,Ingredient,PrepRecipe,34.6134,0.0,0.0,0.0,0.0,0.0,34.6134,100.0,1,Months,3,gal,"","",11.537784418,,,"02/18/2025 05:44:45","2025-07-04 21:29:47","2025-07-06 05:00:58"
126,"Clucking Spice (Seasoning Blend)",Complete,Ingredient,PrepRecipe,16.7626,0.0,0.0,0.0,0.0,0.0,16.7626,100.0,1,Months,106,gram,"","",0.161610659575472,,,"02/18/2025 05:40:43","2025-07-04 21:29:47","2025-07-06 05:00:58"
127,"Onion Ranch",Complete,Sauces,PrepRecipe,26.4337,0.0,0.0,0.0,0.0,0.0,26.4337,100.0,2,Days,10,qt,"","",2.33183273809556,,,"02/18/2025 05:23:48","2025-07-04 21:29:47","2025-07-06 05:00:58"
128,"Comeback sauce",Complete,Sauces,PrepRecipe,0.0554,0.0,0.0,0.0,0.0,0.0,0.0554,100.0,7,Days,7.5,quart,"","",4.84674074074688,,,"02/04/2025 21:13:51","2025-07-04 21:29:47","2025-07-06 05:00:58"
129,"Plain Jane Sandwich",Complete,Main,Recipe,3.3533,20.9477929134252,0.0,0.0,15.0,79.0522070865748,3.3533,100.0,7,"","","",1,ea,3.14216893701378,,,"02/04/2025 19:10:19","2025-07-04 21:29:47","2025-07-06 05:00:58"
130,"Kale Kimchi - Side Portion",Complete,Sides,Recipe,0.4263,7.94002083333669,0.0,0.0,5.0,92.0599791666633,0.4263,100.0,"","","","",1,ea,0.397001041666835,,,"02/04/2025 18:56:13","2025-07-04 21:29:47","2025-07-06 05:00:58"
131,"Pickled Shallot",Complete,Toppings,PrepRecipe,150.9842,0.0,0.0,0.0,0.0,0.0,150.9842,100.0,2,weeks,4,gallon,"","",39.6491666666688,,,"02/04/2025 16:21:26","2025-07-04 21:29:47","2025-07-06 05:00:58"
132,Tenders,Complete,Main,Recipe,0.9782,31.64265625,0.0,0.0,4.0,68.35734375,0.9782,100.0,"","","","",1,each,1.26570625,,,"06/29/2024 18:01:55","2025-07-04 21:29:47","2025-07-06 05:00:58"
